Date : 2025-04-25 11:16:38
Directory : c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src
Total : 1189 files,  759776 codes, 226233 comments, 116295 blanks, all 1102304 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite                                                                                                                                                  |        237 |     20,683 |      4,517 |      3,837 |     29,037 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite (Files)                                                                                                                                          |          1 |        111 |          0 |         26 |        137 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common                                                                                                                                           |        157 |     13,171 |      2,699 |      1,770 |     17,640 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\JTest                                                                                                                                     |         23 |        811 |        622 |        272 |      1,705 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\JTest\inc                                                                                                                                 |         19 |        756 |        602 |        252 |      1,610 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\JTest\inc (Files)                                                                                                                         |         14 |        603 |        474 |        208 |      1,285 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\JTest\inc\arr_desc                                                                                                                        |          1 |        101 |         98 |         22 |        221 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\JTest\inc\opt_arg                                                                                                                         |          3 |         34 |          6 |         11 |         51 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\JTest\inc\util                                                                                                                            |          1 |         18 |         24 |         11 |         53 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\JTest\src                                                                                                                                 |          4 |         55 |         20 |         20 |         95 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc                                                                                                                                       |         43 |      1,849 |        779 |        435 |      3,063 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc (Files)                                                                                                                               |          3 |         40 |         47 |         14 |        101 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\basic_math_tests                                                                                                                      |          4 |        200 |         87 |         56 |        343 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\complex_math_tests                                                                                                                    |          4 |        158 |         92 |         49 |        299 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\controller_tests                                                                                                                      |          4 |         49 |         31 |         23 |        103 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\fast_math_tests                                                                                                                       |          3 |         92 |         28 |         23 |        143 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\filtering_tests                                                                                                                       |          4 |        104 |         62 |         34 |        200 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\intrinsics_tests                                                                                                                      |          3 |        153 |         28 |         24 |        205 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\matrix_tests                                                                                                                          |          4 |        315 |         82 |         57 |        454 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\statistics_tests                                                                                                                      |          4 |        121 |         61 |         47 |        229 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\support_tests                                                                                                                         |          4 |         86 |         57 |         32 |        175 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\templates                                                                                                                             |          2 |        378 |        133 |         45 |        556 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\transform_tests                                                                                                                       |          4 |        153 |         71 |         31 |        255 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform                                                                                                                                  |         20 |      1,380 |        404 |        316 |      2,100 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform (Files)                                                                                                                          |         12 |        362 |        374 |        147 |        883 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\ARMCC                                                                                                                            |          3 |        237 |         15 |         48 |        300 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\ARMCLANG                                                                                                                         |          2 |        248 |          0 |         40 |        288 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\GCC                                                                                                                              |          3 |        533 |         15 |         81 |        629 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src                                                                                                                                       |         71 |      9,131 |        894 |        747 |     10,772 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src (Files)                                                                                                                               |          3 |        326 |        158 |        121 |        605 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\basic_math_tests                                                                                                                      |         11 |        321 |         50 |         70 |        441 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\complex_math_tests                                                                                                                    |          8 |        241 |         28 |         53 |        322 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\controller_tests                                                                                                                      |          5 |        694 |         64 |         41 |        799 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\fast_math_tests                                                                                                                       |          2 |        380 |         14 |         16 |        410 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\filtering_tests                                                                                                                       |          8 |      2,125 |        209 |        172 |      2,506 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\intrinsics_tests                                                                                                                      |          2 |        233 |         11 |          9 |        253 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\matrix_tests                                                                                                                          |         11 |        594 |        110 |         98 |        802 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\statistics_tests                                                                                                                      |          9 |        251 |         56 |         56 |        363 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\support_tests                                                                                                                         |          5 |        175 |         34 |         40 |        249 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\transform_tests                                                                                                                       |          7 |      3,791 |        160 |         71 |      4,022 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\DspLibTest_FVP_A5                                                                                                                                |         10 |        535 |        736 |        212 |      1,483 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\DspLibTest_FVP_A5 (Files)                                                                                                                        |          1 |         10 |         18 |          7 |         35 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\DspLibTest_FVP_A5\RTE                                                                                                                            |          9 |        525 |        718 |        205 |      1,448 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\DspLibTest_FVP_A5\RTE (Files)                                                                                                                    |          1 |          7 |         10 |          4 |         21 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\DspLibTest_FVP_A5\RTE\CMSIS                                                                                                                      |          3 |        315 |        365 |        117 |        797 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\DspLibTest_FVP_A5\RTE\Device                                                                                                                     |          5 |        203 |        343 |         84 |        630 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\DspLibTest_FVP_A5\RTE\Device\ARMCA5                                                                                                              |          5 |        203 |        343 |         84 |        630 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs                                                                                                                                          |         69 |      6,866 |      1,082 |      1,829 |      9,777 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs (Files)                                                                                                                                  |          1 |         67 |          0 |         12 |         79 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs\inc                                                                                                                                      |          1 |      1,071 |         80 |        251 |      1,402 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs\src                                                                                                                                      |         67 |      5,728 |      1,002 |      1,566 |      8,296 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs\src\BasicMathFunctions                                                                                                                   |         10 |        487 |          0 |         82 |        569 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs\src\ComplexMathFunctions                                                                                                                 |          7 |        280 |          2 |         48 |        330 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs\src\ControllerFunctions                                                                                                                  |          3 |         76 |         18 |         31 |        125 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs\src\FastMathFunctions                                                                                                                    |          4 |         32 |          0 |         14 |         46 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs\src\FilteringFunctions                                                                                                                   |         11 |      2,498 |        919 |        876 |      4,293 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs\src\HelperFunctions                                                                                                                      |          3 |        250 |          0 |         53 |        303 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs\src\Intrinsics                                                                                                                           |          2 |        168 |          8 |         67 |        243 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs\src\MatrixFunctions                                                                                                                      |          8 |        418 |          9 |        113 |        540 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs\src\StatisticsFunctions                                                                                                                  |          8 |        446 |          3 |         68 |        517 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs\src\SupportFunctions                                                                                                                     |          6 |        253 |          0 |         49 |        302 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs\src\TransformFunctions                                                                                                                   |          5 |        820 |         43 |        165 |      1,028 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples                                                                                                                                                           |        118 |     33,101 |      4,533 |      3,028 |     40,662 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM                                                                                                                                                       |        118 |     33,101 |      4,533 |      3,028 |     40,662 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_class_marks_example                                                                                                                               |          9 |        673 |        269 |        218 |      1,160 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_class_marks_example (Files)                                                                                                                       |          1 |         59 |        120 |         33 |        212 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_class_marks_example\RTE                                                                                                                           |          8 |        614 |        149 |        185 |        948 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_class_marks_example\RTE\Device                                                                                                                    |          8 |        614 |        149 |        185 |        948 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_class_marks_example\RTE\Device\ARMCM0                                                                                                             |          2 |        139 |         35 |         43 |        217 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_class_marks_example\RTE\Device\ARMCM3                                                                                                             |          2 |        149 |         38 |         46 |        233 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_class_marks_example\RTE\Device\ARMCM4_FP                                                                                                          |          2 |        162 |         38 |         48 |        248 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_class_marks_example\RTE\Device\ARMCM7_SP                                                                                                          |          2 |        164 |         38 |         48 |        250 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_convolution_example                                                                                                                               |         11 |        933 |        486 |        308 |      1,727 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_convolution_example (Files)                                                                                                                       |          3 |        319 |        337 |        123 |        779 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_convolution_example\RTE                                                                                                                           |          8 |        614 |        149 |        185 |        948 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_convolution_example\RTE\Device                                                                                                                    |          8 |        614 |        149 |        185 |        948 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_convolution_example\RTE\Device\ARMCM0                                                                                                             |          2 |        139 |         35 |         43 |        217 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_convolution_example\RTE\Device\ARMCM3                                                                                                             |          2 |        149 |         38 |         46 |        233 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_convolution_example\RTE\Device\ARMCM4_FP                                                                                                          |          2 |        162 |         38 |         48 |        248 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_convolution_example\RTE\Device\ARMCM7_SP                                                                                                          |          2 |        164 |         38 |         48 |        250 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_dotproduct_example                                                                                                                                |          9 |        670 |        252 |        205 |      1,127 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_dotproduct_example (Files)                                                                                                                        |          1 |         56 |        103 |         20 |        179 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_dotproduct_example\RTE                                                                                                                            |          8 |        614 |        149 |        185 |        948 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_dotproduct_example\RTE\Device                                                                                                                     |          8 |        614 |        149 |        185 |        948 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_dotproduct_example\RTE\Device\ARMCM0                                                                                                              |          2 |        139 |         35 |         43 |        217 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_dotproduct_example\RTE\Device\ARMCM3                                                                                                              |          2 |        149 |         38 |         46 |        233 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_dotproduct_example\RTE\Device\ARMCM4_FP                                                                                                           |          2 |        162 |         38 |         48 |        248 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_dotproduct_example\RTE\Device\ARMCM7_SP                                                                                                           |          2 |        164 |         38 |         48 |        250 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_fft_bin_example                                                                                                                                   |         10 |        901 |        300 |        215 |      1,416 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_fft_bin_example (Files)                                                                                                                           |          2 |        287 |        151 |         30 |        468 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_fft_bin_example\RTE                                                                                                                               |          8 |        614 |        149 |        185 |        948 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_fft_bin_example\RTE\Device                                                                                                                        |          8 |        614 |        149 |        185 |        948 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_fft_bin_example\RTE\Device\ARMCM0                                                                                                                 |          2 |        139 |         35 |         43 |        217 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_fft_bin_example\RTE\Device\ARMCM3                                                                                                                 |          2 |        149 |         38 |         46 |        233 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_fft_bin_example\RTE\Device\ARMCM4_FP                                                                                                              |          2 |        162 |         38 |         48 |        248 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_fft_bin_example\RTE\Device\ARMCM7_SP                                                                                                              |          2 |        164 |         38 |         48 |        250 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_fir_example                                                                                                                                       |         12 |        975 |        555 |        318 |      1,848 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_fir_example (Files)                                                                                                                               |          4 |        361 |        406 |        133 |        900 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_fir_example\RTE                                                                                                                                   |          8 |        614 |        149 |        185 |        948 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_fir_example\RTE\Device                                                                                                                            |          8 |        614 |        149 |        185 |        948 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_fir_example\RTE\Device\ARMCM0                                                                                                                     |          2 |        139 |         35 |         43 |        217 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_fir_example\RTE\Device\ARMCM3                                                                                                                     |          2 |        149 |         38 |         46 |        233 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_fir_example\RTE\Device\ARMCM4_FP                                                                                                                  |          2 |        162 |         38 |         48 |        248 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_fir_example\RTE\Device\ARMCM7_SP                                                                                                                  |          2 |        164 |         38 |         48 |        250 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_graphic_equalizer_example                                                                                                                         |         12 |      1,097 |        582 |        347 |      2,026 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_graphic_equalizer_example (Files)                                                                                                                 |          4 |        483 |        433 |        162 |      1,078 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_graphic_equalizer_example\RTE                                                                                                                     |          8 |        614 |        149 |        185 |        948 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_graphic_equalizer_example\RTE\Device                                                                                                              |          8 |        614 |        149 |        185 |        948 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_graphic_equalizer_example\RTE\Device\ARMCM0                                                                                                       |          2 |        139 |         35 |         43 |        217 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_graphic_equalizer_example\RTE\Device\ARMCM3                                                                                                       |          2 |        149 |         38 |         46 |        233 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_graphic_equalizer_example\RTE\Device\ARMCM4_FP                                                                                                    |          2 |        162 |         38 |         48 |        248 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_graphic_equalizer_example\RTE\Device\ARMCM7_SP                                                                                                    |          2 |        164 |         38 |         48 |        250 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_linear_interp_example                                                                                                                             |         12 |     24,460 |        530 |        311 |     25,301 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_linear_interp_example (Files)                                                                                                                     |          4 |     23,846 |        381 |        126 |     24,353 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_linear_interp_example\RTE                                                                                                                         |          8 |        614 |        149 |        185 |        948 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_linear_interp_example\RTE\Device                                                                                                                  |          8 |        614 |        149 |        185 |        948 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_linear_interp_example\RTE\Device\ARMCM0                                                                                                           |          2 |        139 |         35 |         43 |        217 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_linear_interp_example\RTE\Device\ARMCM3                                                                                                           |          2 |        149 |         38 |         46 |        233 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_linear_interp_example\RTE\Device\ARMCM4_FP                                                                                                        |          2 |        162 |         38 |         48 |        248 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_linear_interp_example\RTE\Device\ARMCM7_SP                                                                                                        |          2 |        164 |         38 |         48 |        250 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_matrix_example                                                                                                                                    |         11 |        909 |        487 |        317 |      1,713 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_matrix_example (Files)                                                                                                                            |          3 |        295 |        338 |        132 |        765 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_matrix_example\RTE                                                                                                                                |          8 |        614 |        149 |        185 |        948 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_matrix_example\RTE\Device                                                                                                                         |          8 |        614 |        149 |        185 |        948 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_matrix_example\RTE\Device\ARMCM0                                                                                                                  |          2 |        139 |         35 |         43 |        217 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Examples\ARM\arm_matrix_example\RTE\Device\ARMCM3                                                                                                                  |          2 |        149 |         38 |         46 |        233 |
