Date : 2025-04-25 11:16:38
Directory : c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src
Total : 1189 files,  759776 codes, 226233 comments, 116295 blanks, all 1102304 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\PythonWrapper\cmsisdsp_pkg\src\cmsismodule.h                                                | C++              |     10,383 |        210 |      4,768 |     15,361 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\PythonWrapper\cmsisdsp_pkg\src\fftinit.c                                                    | C                |        134 |         69 |         59 |        262 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\BasicMathFunctions.c                                              | C                |         35 |         27 |          2 |         64 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\CMakeLists.txt                                                    | CMake            |          7 |          0 |         10 |         17 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_abs_f32.c                                                     | C                |         44 |         72 |         31 |        147 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_abs_q15.c                                                     | C                |         53 |         57 |         23 |        133 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_abs_q31.c                                                     | C                |         53 |         57 |         23 |        133 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_abs_q7.c                                                      | C                |         53 |         59 |         23 |        135 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_add_f32.c                                                     | C                |         47 |         71 |         28 |        146 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_add_q15.c                                                     | C                |         45 |         60 |         22 |        127 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_add_q31.c                                                     | C                |         28 |         58 |         23 |        109 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_add_q7.c                                                      | C                |         32 |         58 |         20 |        110 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_dot_prod_f32.c                                                | C                |         55 |         75 |         34 |        164 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_dot_prod_q15.c                                                | C                |         35 |         66 |         20 |        121 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_dot_prod_q31.c                                                | C                |         30 |         63 |         23 |        116 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_dot_prod_q7.c                                                 | C                |         45 |         72 |         23 |        140 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_mult_f32.c                                                    | C                |         47 |         71 |         31 |        149 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_mult_q15.c                                                    | C                |         55 |         64 |         25 |        144 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_mult_q31.c                                                    | C                |         39 |         58 |         23 |        120 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_mult_q7.c                                                     | C                |         39 |         59 |         22 |        120 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_negate_f32.c                                                  | C                |         43 |         72 |         31 |        146 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_negate_q15.c                                                  | C                |         43 |         59 |         25 |        127 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_negate_q31.c                                                  | C                |         53 |         57 |         23 |        133 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_negate_q7.c                                                   | C                |         45 |         57 |         25 |        127 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_offset_f32.c                                                  | C                |         44 |         73 |         31 |        148 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_offset_q15.c                                                  | C                |         41 |         59 |         22 |        122 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_offset_q31.c                                                  | C                |         48 |         58 |         23 |        129 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_offset_q7.c                                                   | C                |         36 |         59 |         22 |        117 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_scale_f32.c                                                   | C                |         44 |         86 |         30 |        160 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_scale_q15.c                                                   | C                |         56 |         64 |         25 |        145 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_scale_q31.c                                                   | C                |         97 |         65 |         30 |        192 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_scale_q7.c                                                    | C                |         46 |         61 |         23 |        130 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_shift_q15.c                                                   | C                |         99 |         70 |         33 |        202 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_shift_q31.c                                                   | C                |         71 |         83 |         28 |        182 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_shift_q7.c                                                    | C                |         79 |         70 |         27 |        176 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_sub_f32.c                                                     | C                |         47 |         71 |         31 |        149 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_sub_q15.c                                                     | C                |         45 |         60 |         22 |        127 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_sub_q31.c                                                     | C                |         28 |         58 |         23 |        109 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\BasicMathFunctions\arm_sub_q7.c                                                      | C                |         32 |         58 |         20 |        110 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\CMakeLists.txt                                                                       | CMake            |        185 |          0 |         39 |        224 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\CommonTables\CMakeLists.txt                                                          | CMake            |         17 |          0 |         15 |         32 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\CommonTables\CommonTables.c                                                          | C                |          2 |         27 |          3 |         32 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\CommonTables\arm_common_tables.c                                                     | C                |     56,268 |        789 |        159 |     57,216 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\CommonTables\arm_const_structs.c                                                     | C                |        392 |         35 |         60 |        487 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\ComplexMathFunctions\CMakeLists.txt                                                  | CMake            |          7 |          0 |         10 |         17 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\ComplexMathFunctions\ComplexMathFunctions.c                                          | C                |         18 |         27 |          2 |         47 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\ComplexMathFunctions\arm_cmplx_conj_f32.c                                            | C                |         49 |         81 |         32 |        162 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\ComplexMathFunctions\arm_cmplx_conj_q15.c                                            | C                |         71 |         57 |         30 |        158 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\ComplexMathFunctions\arm_cmplx_conj_q31.c                                            | C                |         58 |         57 |         23 |        138 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\ComplexMathFunctions\arm_cmplx_dot_prod_f32.c                                        | C                |        102 |         89 |         43 |        234 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\ComplexMathFunctions\arm_cmplx_dot_prod_q15.c                                        | C                |         68 |         61 |         26 |        155 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\ComplexMathFunctions\arm_cmplx_dot_prod_q31.c                                        | C                |         68 |         60 |         26 |        154 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\ComplexMathFunctions\arm_cmplx_mag_f32.c                                             | C                |         69 |         80 |         40 |        189 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\ComplexMathFunctions\arm_cmplx_mag_q15.c                                             | C                |         75 |         58 |         30 |        163 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\ComplexMathFunctions\arm_cmplx_mag_q31.c                                             | C                |         49 |         57 |         25 |        131 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\ComplexMathFunctions\arm_cmplx_mag_squared_f32.c                                     | C                |         69 |         79 |         37 |        185 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\ComplexMathFunctions\arm_cmplx_mag_squared_q15.c                                     | C                |         75 |         58 |         29 |        162 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\ComplexMathFunctions\arm_cmplx_mag_squared_q31.c                                     | C                |         49 |         57 |         24 |        130 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\ComplexMathFunctions\arm_cmplx_mult_cmplx_f32.c                                      | C                |         76 |         84 |         35 |        195 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\ComplexMathFunctions\arm_cmplx_mult_cmplx_q15.c                                      | C                |         54 |         59 |         24 |        137 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\ComplexMathFunctions\arm_cmplx_mult_cmplx_q31.c                                      | C                |         54 |         60 |         24 |        138 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\ComplexMathFunctions\arm_cmplx_mult_real_f32.c                                       | C                |         58 |         81 |         31 |        170 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\ComplexMathFunctions\arm_cmplx_mult_real_q15.c                                       | C                |         88 |         64 |         31 |        183 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\ComplexMathFunctions\arm_cmplx_mult_real_q31.c                                       | C                |         64 |         62 |         23 |        149 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\ControllerFunctions\CMakeLists.txt                                                   | CMake            |         23 |          0 |         15 |         38 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\ControllerFunctions\ControllerFunctions.c                                            | C                |          8 |         27 |          3 |         38 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\ControllerFunctions\arm_pid_init_f32.c                                               | C                |         13 |         53 |         10 |         76 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\ControllerFunctions\arm_pid_init_q15.c                                               | C                |         25 |         54 |         17 |         96 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\ControllerFunctions\arm_pid_init_q31.c                                               | C                |         21 |         55 |         17 |         93 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\ControllerFunctions\arm_pid_reset_f32.c                                              | C                |          6 |         43 |          6 |         55 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\ControllerFunctions\arm_pid_reset_q15.c                                              | C                |          6 |         43 |          6 |         55 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\ControllerFunctions\arm_pid_reset_q31.c                                              | C                |          6 |         43 |          6 |         55 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\ControllerFunctions\arm_sin_cos_f32.c                                                | C                |         48 |         76 |         23 |        147 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\ControllerFunctions\arm_sin_cos_q31.c                                                | C                |         43 |         52 |         16 |        111 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FastMathFunctions\CMakeLists.txt                                                     | CMake            |         32 |          0 |         20 |         52 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FastMathFunctions\FastMathFunctions.c                                                | C                |          8 |         27 |          3 |         38 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FastMathFunctions\arm_cos_f32.c                                                      | C                |         29 |         76 |         18 |        123 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FastMathFunctions\arm_cos_q15.c                                                      | C                |         22 |         50 |         13 |         85 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FastMathFunctions\arm_cos_q31.c                                                      | C                |         22 |         50 |         13 |         85 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FastMathFunctions\arm_sin_f32.c                                                      | C                |         29 |         76 |         18 |        123 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FastMathFunctions\arm_sin_q15.c                                                      | C                |         17 |         49 |         12 |         78 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FastMathFunctions\arm_sin_q31.c                                                      | C                |         17 |         49 |         12 |         78 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FastMathFunctions\arm_sqrt_q15.c                                                     | C                |         68 |         60 |         17 |        145 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FastMathFunctions\arm_sqrt_q31.c                                                     | C                |         68 |         60 |         17 |        145 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FilteringFunctions\CMakeLists.txt                                                    | CMake            |        114 |          0 |         15 |        129 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FilteringFunctions\FilteringFunctions.c                                              | C                |         99 |         27 |          2 |        128 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FilteringFunctions\arm_biquad_cascade_df1_32x64_init_q31.c                           | C                |         14 |         70 |         11 |         95 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FilteringFunctions\arm_biquad_cascade_df1_32x64_q31.c                                | C                |        115 |        261 |         83 |        459 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FilteringFunctions\arm_biquad_cascade_df1_f32.c                                      | C                |        160 |        257 |         79 |        496 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FilteringFunctions\arm_biquad_cascade_df1_fast_q15.c                                 | C                |         92 |        117 |         42 |        251 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FilteringFunctions\arm_biquad_cascade_df1_fast_q31.c                                 | C                |         98 |        154 |         45 |        297 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FilteringFunctions\arm_biquad_cascade_df1_init_f32.c                                 | C                |         12 |         70 |         10 |         92 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FilteringFunctions\arm_biquad_cascade_df1_init_q15.c                                 | C                |         14 |         72 |         11 |         97 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FilteringFunctions\arm_biquad_cascade_df1_init_q31.c                                 | C                |         14 |         71 |         11 |         96 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FilteringFunctions\arm_biquad_cascade_df1_q15.c                                      | C                |        146 |        150 |         68 |        364 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FilteringFunctions\arm_biquad_cascade_df1_q31.c                                      | C                |         89 |        108 |         51 |        248 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FilteringFunctions\arm_biquad_cascade_df2T_f32.c                                     | C                |        265 |         99 |        160 |        524 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FilteringFunctions\arm_biquad_cascade_df2T_f64.c                                     | C                |        167 |        161 |        116 |        444 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FilteringFunctions\arm_biquad_cascade_df2T_init_f32.c                                | C                |         80 |        108 |         24 |        212 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FilteringFunctions\arm_biquad_cascade_df2T_init_f64.c                                | C                |         12 |         65 |         10 |         87 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FilteringFunctions\arm_biquad_cascade_stereo_df2T_f32.c                              | C                |        142 |         73 |         71 |        286 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FilteringFunctions\arm_biquad_cascade_stereo_df2T_init_f32.c                         | C                |         12 |         65 |         10 |         87 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FilteringFunctions\arm_conv_f32.c                                                    | C                |        356 |        291 |        170 |        817 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FilteringFunctions\arm_conv_fast_opt_q15.c                                           | C                |        160 |        122 |         85 |        367 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FilteringFunctions\arm_conv_fast_q15.c                                               | C                |        263 |        263 |        138 |        664 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\Source\FilteringFunctions\arm_conv_fast_q31.c                                               | C                |        217 |        235 |        107 |        559 |
